date,symbol,reportedCurrency,cik,filingDate,acceptedDate,fiscalYear,period,revenue,costOfRevenue,grossProfit,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,netInterestIncome,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebit,nonOperatingIncomeExcludingInterest,operatingIncome,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeTaxExpense,netIncomeFromContinuingOperations,netIncomeFromDiscontinuedOperations,otherAdjustmentsToNetIncome,netIncome,netIncomeDeductions,bottomLineNetIncome,eps,epsDiluted,weightedAverageShsOut,weightedAverageShsOutDil
2022-12-31,000001.SZ,CNY,0000000000,2022-12-31,2022-12-30 19:00:00,2022,FY,179750000000,0,179750000000,0,49387000000,0,49387000000,1727000000,51114000000,51114000000,130130000000,228878000000,98748000000,6026000000,687000000,-5339000000,5339000000,156001000000,-187000000,57253000000,11737000000,45516000000,0,-2849000000,45516000000,0,42667000000,2.2,2.2,19406000000,19406000000
2022-12-31,000002.SZ,CNY,0000000000,2022-12-31,2022-12-30 19:00:00,2022,FY,503838367358,405319286979,98519080379,685861706,9584138376,12412367172,21996505549,24394222455,47076589711,452395876691,9306829808,3571437139,5886551777,428842406569,68491242596,46252965565,5776080804,52006935659,379249759,52386185416,14835276111,37612558798,0,0,37550909305,0,22688551801,3.24,3.24,11593943319,11593943319
2022-12-31,000004.SZ,CNY,0000000000,2022-12-31,2022-12-30 19:00:00,2022,FY,166463289,104272724,62190565,45165536,8771445,36555092,45326538,13379675,103871750,208144475,1368327,1724947,314669,15332999,-599088088,-615876046.15,5164662,-41681185.31,-5479331.779999971,-616190715.78,-20239023.06,-595826215,0,0,-595951692.72,7.429999947547913,-595037295.43,-4.07,-4.07,146353898,146353898
2022-12-31,000005.SZ,CNY,0000000000,2022-12-31,2022-12-30 19:00:00,2022,FY,283743655,246703512,37040143,14389319,19894570,7766779,27661350,42031239,84081909,330785422,10241856,22958497,12716641,43482987,-3558779.64,-153182080,73507248,-47041766.85,-86223889.33000001,-165898721.33,-4948958.14,-160949763.19000003,0,0,-160949763.19000003,0,-160949763.19000003,-0.15,-0.15,1058536842,1058536842
2022-12-31,000006.SZ,CNY,0000000000,2022-12-31,2022-12-30 19:00:00,2022,FY,3699813551,2270502785,1429310766,0.19199742472325773,151695304,93890533,245585838,272094150,517679989,2788182775,-200456130.95,35369553,235825684,2571218216,1083951302,968491885,-236445346,1023754885,619667,732666201,284624068,448042133,-74558312,74558311,419619088,0,419619088,0.31,0.31,1349995046,1349995046
