"date","symbol","reportedCurrency","cik","filingDate","acceptedDate","fiscalYear","period","revenue","costOfRevenue","grossProfit","researchAndDevelopmentExpenses","generalAndAdministrativeExpenses","sellingAndMarketingExpenses","sellingGeneralAndAdministrativeExpenses","otherExpenses","operatingExpenses","costAndExpenses","netInterestIncome","interestIncome","interestExpense","depreciationAndAmortization","ebitda","ebit","nonOperatingIncomeExcludingInterest","operatingIncome","totalOtherIncomeExpensesNet","incomeBeforeTax","incomeTaxExpense","netIncomeFromContinuingOperations","netIncomeFromDiscontinuedOperations","otherAdjustmentsToNetIncome","netIncome","netIncomeDeductions","bottomLineNetIncome","eps","epsDiluted","weightedAverageShsOut","weightedAverageShsOutDil"
"2023-06-30","PANR.L","USD","0000000000","2023-06-30","2023-06-29 20:00:00","2022","FY",803689,673290,130399,0,3870673,0,3870673,3146170,7016843,7690133,-5772913,338205,6111118,57569,4860844,4803275,-11689719,-6886444,5578601,-1307843,138844,-1446687,0,0,-1446687,0,-1446687,-0.0018,-0.0018,791404266,791082592
"2022-06-30","PANRF","AUD","0000000000","2022-06-30","2022-06-30 00:00:00","2022","FY",88370000,70629000,17741000,0,2449000,0,2449000,7617000,15614000,86243000,-5301000,224000,4495000,8946000,19423000,10755000,-1817000,8938000,-2678000,6260000,12112000,6260000,0,0,6260000,0,6260000,0.0031,0.003,2050914004,2060492595
"2022-12-31","PANS.JK","IDR","0000000000","2022-12-31","2022-12-30 19:00:00","2022","FY",343848565715,157388832938,186459732777,0.5682130198311841,36808451276,2674245796,39482697072,27364547601,66847244673,224236077611,46229153201,54198654355,3081312781,223357115588,197581626936,297579021106,-112552198684,185026822422,109470885903,294497708325,38868300783,255629407542,0,0,248372298261,0,248372298261,347.86,347.86,713994817,713994817
"2023-03-31","PANSARI.NS","INR","0000000000","2023-03-31","2023-03-30 20:00:00","2022","FY",162919000,187075000,-24156000,0,8700000,500000,10038000,-7705000,17743000,204818000,-7913000,6323000,7913000,18585000,53659000,35074000,-7228000,-41899000,-685000,27161000,7054000,20107000,0,0,20107000,0,20107000,1.15,1.15,17446800,17446800
"2023-03-31","PANTH.BO","INR","0000000000","2023-03-31","2023-03-29 20:00:00","2022","FY",157351000,147329000,10022000,0,0,0,3877000,0,3877000,151206000,0,0,0,116000,-22247000,-22363000,28508000,6145000,-28508000,-22363000,-9000,-22354000,0,0,-22354000,0,-22354000,-1.21,-1.21,18474380,18474380
"2022-07-31","PANW","USD","0001327567","2022-09-06","2022-09-06 16:07:52","2022","FY",5501500000,1718700000,3782800000,1417700000,405000000,2148900000,2553900000,9000000,3971600000,5690300000,-11800000,15600000,27400000,337000000,95600000,-187000000,-1800000,-188800000,-18400000,-207200000,59800000,-267000000,0,0,-267000000,0,-267000000,-0.45,-0.45,590999988,590999988
"2022-07-31","PANW.NE","USD","0001327567","2022-09-06","2022-09-06 16:07:52","2022","FY",5501500000,1718700000,3782800000,1417700000,405000000,2148900000,2553900000,9000000,3971600000,5690300000,-11800000,15600000,27400000,337000000,95600000,-187000000,-1800000,-188800000,-18400000,-207200000,59800000,-267000000,0,0,-267000000,0,-267000000,-0.045000000000000005,-0.045000000000000005,5909999880,5909999880
"2022-12-31","PANXF","CAD","0000000000","2022-12-31","2022-12-31 00:00:00","2022","FY",0,0,0,0,903439,483990,1387429,0,1387429,876833,0,0,36045,549,-876284,-876833,0,-876833,-546641,-1423474,-0.549000000115484,-1423474,0,0,-1423474,0,-1423474,-0.0074,-0.0074,192696444,192696444
"2022-12-31","PAOG","USD","0000000000","2022-12-31","2022-12-29 19:00:00","2022","FY",0,2744,-2744,0,0,0,185805,0,185805,188549,0,0,62610,228485,-188550,-188549,0,-188550,-62610,-251159,-228485,-251159,0,0,-251159,0,-251159,-0.0001,-0.0001,1910183464,1910183464
"2023-03-31","PAOS.BO","INR","0000000000","2023-03-31","2023-03-29 20:00:00","2022","FY",0,0,0,0,171000,42000,213000,1144000,1357000,1357000,-1547000,0,1547000,1360000,2000,-1358000,1000,-1357000,-1547000,-2904000,0,-2904000,0,0,-2904000,0,-2904000,-0.48,-0.48,6103600,6103600
"2022-12-31","PAOTF","EUR","0000000000","2022-12-31","2022-12-30 19:00:00","2022","FY",71949000,15953000,55996000,43614000,14749000,11114000,25863000,1971000,71448000,87401000,783000,2000,504000,4094999,-14245000,-15657000,-4217000,-15452000,587000,-19290000,435000,-18673000,0,-1049000,-19725000,0,-19517000,-0.65,-0.65,30448409,30448409
"2022-12-31","PAP.AT","EUR","0000000000","2022-12-31","2022-12-30 19:00:00","2022","FY",70749375,53452013,17297362,928363,3384860,0,3384860,-8933748,2700875,56152888,-923387,-275823,647564,1995924,6656291,4580198,-514470,5452542,-133094,3932634,937257,2995377,0,-1,2995376,0,2995376,0.11,0.11,27054532,27054532
"2022-12-31","PAP.BK","THB","0000000000","2022-12-31","2022-12-30 19:00:00","2022","FY",9789065336,9775817206,13248130,0,259595699,143725136,403320835,-81933366,321387469,10097204675,-36728532,387473,37116005,126965000,-160746412,-287711411,-387473,-308139339,-36728532,-336841682,-1877636,-325305555,0,0,-334964046,0,-325305555,-0.51,-0.51,660000000,660000000
"2022-08-31","PAPL","USD","0001938109","2022-08-31","2022-08-30 20:00:00","2022","FY",3600851,2360344,1240507,-0.1378766108643233,2904682,795588,3700270,-122168,3956364,6316708,-94202,0,94202,211756,-2459988,-2715859,1,-2671744,-94203,-2810061,77111,-2810061,0,0,-2810061,0,-2810061,-0.39,-0.39,7181978,7181978
"2022-12-31","PAR","USD","0000708821","2023-03-01","2023-03-01 16:07:05","2022","FY",355795000,266502000,89293000,48643000,66319000,34900000,101219000,1863000,151725000,418227000,-8811000,8811000,8811000,27207000,-32049000,-59256000,-1313000,-62432000,-7498000,-68067000,1252000,-69319000,0,0,-69319000,0,-69319000,-2.55,-2.55,27152000,27152000
"2022-06-30","PAR.AX","AUD","0000000000","2022-06-30","2022-06-29 20:00:00","2022","FY",79224,337001,-257777,39011991,7934179,918860,7740929,8656862,46752920,47089921,23111,51744,28633,193250,-46817450,-46983553,-27147,-47010700,-1481,-47012181,-7762597,-39249584,0,0,-39249584,0,-39249584,-0.16,-0.16,240964392,241818763
"2022-12-31","PAR.MC","EUR","0000000000","2022-12-31","2022-12-30 19:00:00","2022","FY",32976894,19399682,13577212,0,9413401,0,9413401,0,19557601,38957283,-536955,218962,755917,4123417,-3370228,-7493645,15206252,7712607,-15962169,-8249562,1664925,-9914487,0,-155494,-9914487,-155494,-9914487,-0.6,-0.6,16544713,16544713
"2023-03-31","PAR.NS","INR","0000000000","2023-03-31","2023-03-30 20:00:00","2022","FY",950951000,664049000,286902000,1005609,12410000,47638000,60048000,2383000,141379000,805428000,-613000,719000,24000,32332000,182074000,150816000,346190000,149742000,-346214000,150792000,37451000,113341000,0,0,113341000,0,113341000,9.21,9.21,12304636,12304636
"2022-12-31","PAR.PA","EUR","0000000000","2022-12-31","2022-12-30 19:00:00","2022","FY",43910000,2915000,40995000,0.10182422737935275,369000,337000,369000,35916000,36285000,39200000,-1024000,166000,1184000,1098000,6753000,5655000,-1309000,4346000,125000,4471000,436000,4036000,0,0,4036000,0,4036000,2.67,2.67,1508911,1508911
"2022-12-31","PARA","USD","0000813828","2023-02-16","2023-02-16 12:12:27","2022","FY",30154000000,19845000000,10309000000,0,7098000000,-65000000,7098000000,405000000,7503000000,27348000000,-823000000,108000000,931000000,405000000,2602000000,2197000000,145000000,2342000000,-1076000000,1266000000,227000000,835000000,379000000,0,1104000000,0,1046000000,1.61,1.61,649000000,650000000
"2022-12-31","PARAA","USD","0000813828","2023-02-16","2023-02-16 12:12:27","2022","FY",30154000000,19845000000,10309000000,0,7098000000,-65000000,7098000000,405000000,7503000000,27348000000,-823000000,108000000,931000000,405000000,2602000000,2197000000,145000000,2342000000,-1076000000,1266000000,227000000,835000000,379000000,0,1104000000,0,1046000000,1.61,1.61,649000000,650000000
"2023-03-31","PARACABLES.BO","INR","0000000000","2023-03-31","2023-03-30 20:00:00","2022","FY",7964665000,5834659000,2130006000,0,217660000,30306000,247966000,162532000,1743095000,7577754000,-56808000,12516000,71768000,92580000,642023000,535332000,-145827000,387659000,88170000,477675000,161784000,477675000,0,0,477675000,0,477675000,2.4,2.4,199124094,199124094
"2023-03-31","PARACABLES.NS","INR","0000000000","2023-03-31","2023-03-30 20:00:00","2022","FY",7964665000,5834659000,2130006000,0,217660000,30306000,247966000,162532000,1743095000,7577754000,-56808000,12516000,71768000,92580000,642023000,535332000,-145827000,387659000,88170000,477675000,161784000,477675000,0,0,477675000,0,477675000,2.4,2.4,199124094,199124094
"2023-03-31","PARADEEP.BO","INR","0000000000","2023-03-31","2023-03-30 20:00:00","2022","FY",133407200000,106131800000,27275400000,11819000,2311695000,106003000,2417698000,910700000,21017000000,127148800000,-2283785000,2412647000,2912400000,1751531000,8380348000,6250809000,1139692000,8066315000,-3128803000,4261700000,1219900000,3041926000,0,0,3041800000,0,3041926000,3.9,3.9,779786595,780138968
"2023-03-31","PARADEEP.NS","INR","0000000000","2023-03-31","2023-03-30 20:00:00","2022","FY",133407200000,106131800000,27275400000,11819000,2311695000,106003000,2417698000,910700000,21017000000,127148800000,-2283785000,2412647000,2912400000,1751531000,8380348000,6250809000,1139692000,8066315000,-3128803000,4261700000,1219900000,3041926000,0,0,3041800000,0,3041926000,3.9,3.9,779786595,780138968
"2023-03-31","PARAGMILK.BO","INR","0000000000","2023-03-31","2023-03-30 20:00:00","2022","FY",28926200000,23231860000,5694340000,0,132490000,773690000,906180000,305980000,4938140000,28170000000,-551560000,35020000,551560000,572750000,1650630000,1062180000,3416230000,938150000,-3967790000,510620000,-21920000,532540000,0,0,532540000,0,532540000,5.07,4.82,105068319,110573276
"2023-03-31","PARAGMILK.NS","INR","0000000000","2023-03-31","2023-03-30 20:00:00","2022","FY",28926200000,23231860000,5694340000,0,132490000,773690000,906180000,305980000,4938140000,28170000000,-551560000,35020000,551560000,572750000,1650630000,1062180000,3416230000,938150000,-3967790000,510620000,-21920000,532540000,0,0,532540000,0,532540000,5.07,4.82,105068319,110573276
"2023-03-31","PARAGONF.BO","INR","0000000000","2023-03-31","2023-03-30 20:00:00","2022","FY",15240000,15999000,-759000,-0.05970149253731344,908000,216000,1124000,43000,1834000,17833000,557000,453000,276000,17024000,614000,-2697000,0,-3801000,1733000,-964000,342000,-1300000,0,0,-1306000,0,-1300000,-0.31,-0.31,4250000,4250000
"2022-12-31","PARAP","USD","0000813828","2023-02-16","2023-02-16 12:12:27","2022","FY",30154000000,19845000000,10309000000,0,7098000000,-65000000,7098000000,405000000,7503000000,27348000000,-823000000,108000000,931000000,405000000,2602000000,2197000000,145000000,2342000000,-1076000000,1266000000,227000000,835000000,379000000,0,1104000000,0,1046000000,1.61,1.61,649000000,650000000
"2023-03-31","PARAS.BO","INR","0000000000","2023-03-31","2023-03-30 20:00:00","2022","FY",2224300000,1053600000,1170700000,5152000,106138000,23899000,130037000,82200000,715900000,1769500000,-48246000,29254000,67200000,112724000,659987000,518268000,-36605000,467367000,-13213000,468500000,109000000,359404000,0,0,360700000,0,360586000,9.25,9.25,39000061,39000061
"2023-03-31","PARAS.NS","INR","0000000000","2023-03-31","2023-03-30 20:00:00","2022","FY",2224300000,1053600000,1170700000,5152000,106138000,23899000,130037000,82200000,715900000,1769500000,-48246000,29254000,67200000,112724000,659987000,518268000,-36605000,467367000,-13213000,468500000,109000000,359404000,0,0,360700000,0,360586000,9.25,9.25,39000061,39000061
"2022-03-31","PARASPETRO.BO","INR","0000000000","2022-03-31","2022-03-30 20:00:00","2022","FY",0,0,0,0,274150,46390,320540,-419540,2274940,2653367,11211570,11216830,5260,0,8563467,8563467,-11216837,-2653370,11215840,8562470,5,8562465,0,5,8562470,5,8562465,0.0256,0.0256,334221000,334221000
"2022-12-31","PARAUCO.SN","CLP","0000000000","2022-12-31","2022-12-30 19:00:00","2022","FY",243119543000,55126662000,187992881000,0.6989284164522719,22424419000,0,22424419000,406171000,23790513000,78917175000,-24139086000,22322320000,45804665000,68770465000,228688735000,228688735000,42943373000,271632108000,-88748038000,182884070000,45332097000,117783120000,0,19768853000,101031635000,0,101031635000,111.55,111.55,905716000,905716000
"2022-12-31","PARB.OL","NOK","0000000000","2022-12-31","2022-12-30 19:00:00","2022","FY",963642000,0,963642000,0,36845000,7864000,44709000,141808000,186517000,186517000,776064000,1083669000,307605000,15917000,748052000,732135000,18242000,1041401000,-16581000,733796000,178301000,553834000,0,1661000,555495000,0,555495000,7.95,7.95,69851730,69851730
"2022-05-31","PARG","USD","0001495648","2022-05-31","2022-05-31 00:00:00","2022","FY",0,0,0,0,77183,0,77183,0,77183,77183,0,0,11576,228485,-77183,6569,-83752,-77183,72176,-5007,-83752,78745,0,0,78745,0,78745,0.4,0.4,197260,197260
"2022-12-31","PARKEN.CO","DKK","0000000000","2022-12-31","2022-12-30 19:00:00","2022","FY",1313932000,278270000,1035662000,0,155965000,40030000,195995000,650339000,846334000,1124604000,-45619000,3025000,48644000,138370000,450741000,312371000,-3515000,443468000,-45129001,263727000,72819000,190908000,0,0,192228000,0,192228000,19.68,19.68,9769511,9769511
"2023-03-31","PARKERAC.BO","INR","0000000000","2023-03-31","2023-03-30 20:00:00","2022","FY",43109000,15258000,27851000,0,1126000,264000,1390000,351000,21478000,36736000,-320000,123000,301000,1033000,7757000,6847000,14951000,6724000,-15271000,6527000,104000,6527000,0,0,6527000,0,6527000,1.37,1.37,4779000,4779000
"2023-03-31","PARKHOTELS.NS","INR","0000000000","2023-03-31","2023-03-30 20:00:00","2022","FY",5104500000,1684200000,3420300000,0,181580000,130500000,312080000,139800000,2285400000,3969600000,-623300000,12900000,623300000,493000000,1771000000,1278000000,1810300000,1278000000,-2433600000,654700000,174000000,480700000,0,0,480700000,0,480700000,2.25,2.25,213401951,213401951
